volume,vw,open,close,high,low,date,n
39480.0,190.0998,191.52,189.9,191.52,189.8,2024-01-02 09:00:00,1336
8636.0,189.9424,189.9,189.98,190.0,189.82,2024-01-02 09:05:00,280
3447.0,189.94,189.96,189.97,189.97,189.9,2024-01-02 09:10:00,184
3444.0,189.9741,189.97,190.0,190.0,189.97,2024-01-02 09:15:00,115
2431.0,190.0951,190.03,190.1,190.11,190.03,2024-01-02 09:20:00,114
3066.0,190.0859,190.09,190.05,190.11,190.05,2024-01-02 09:25:00,137
3425.0,190.0659,190.07,190.09,190.09,190.05,2024-01-02 09:30:00,72
4450.0,189.9948,190.07,189.95,190.08,189.95,2024-01-02 09:35:00,308
3918.0,189.8963,189.9,189.89,189.9,189.88,2024-01-02 09:40:00,198
3582.0,189.9047,189.91,189.9,189.91,189.9,2024-01-02 09:45:00,56
2612.0,189.9069,189.9,189.95,189.95,189.89,2024-01-02 09:55:00,118
2082.0,189.9989,190.0,190.0,190.0,190.0,2024-01-02 10:00:00,63
2536.0,190.0753,190.02,190.1,190.1,190.02,2024-01-02 10:05:00,95
2865.0,190.101,190.09,190.12,190.12,190.09,2024-01-02 10:10:00,57
1926.0,190.1698,190.15,190.2,190.2,190.15,2024-01-02 10:15:00,84
1208.0,190.2328,190.2,190.24,190.24,190.2,2024-01-02 10:20:00,28
2497.0,190.0912,190.15,190.05,190.15,190.04,2024-01-02 10:25:00,121
1173.0,190.0245,190.01,190.01,190.01,190.01,2024-01-02 10:30:00,50
424.0,190.1,190.1,190.1,190.1,190.1,2024-01-02 10:35:00,20
605.0,190.1525,190.15,190.15,190.15,190.15,2024-01-02 10:40:00,46
1037.0,190.11,190.12,190.1,190.12,190.1,2024-01-02 10:45:00,88
301.0,190.091,190.09,190.09,190.09,190.09,2024-01-02 10:50:00,23
13201.0,189.882,190.01,189.76,190.02,189.7,2024-01-02 10:55:00,630
8010.0,189.5275,189.68,189.54,189.68,189.39,2024-01-02 11:00:00,452
