volume,vw,open,close,high,low,date,n
11051.0,211.7628,211.89,211.71,211.89,211.68,2024-07-01 08:00:00,368
1588.0,211.6964,211.7,211.73,211.73,211.59,2024-07-01 08:05:00,44
493.0,211.713,211.71,211.71,211.71,211.71,2024-07-01 08:10:00,15
1143.0,211.7483,211.7,211.79,211.79,211.7,2024-07-01 08:15:00,30
248.0,211.7526,211.75,211.75,211.75,211.75,2024-07-01 08:20:00,6
286.0,211.8022,211.8,211.8,211.8,211.8,2024-07-01 08:25:00,9
483.0,211.8105,211.81,211.81,211.81,211.81,2024-07-01 08:30:00,12
7997.0,211.6588,211.82,211.48,211.82,211.48,2024-07-01 08:35:00,219
7395.0,211.2226,211.35,211.3,211.35,211.08,2024-07-01 08:40:00,165
5362.0,211.2954,211.3,211.28,211.4,211.19,2024-07-01 08:45:00,97
4425.0,211.2356,211.2,211.24,211.39,211.2,2024-07-01 08:50:00,105
13342.0,211.1247,211.23,211.09,211.23,211.04,2024-07-01 08:55:00,246
11237.0,211.0441,211.09,210.98,211.09,210.98,2024-07-01 09:00:00,165
770.0,210.7989,210.8,210.8,210.8,210.8,2024-07-01 09:05:00,42
3883.0,210.5741,210.68,210.5,210.68,210.5,2024-07-01 09:10:00,445
5760.0,210.7707,210.56,210.99,210.99,210.56,2024-07-01 09:15:00,733
4330.0,210.8267,210.9,210.81,210.9,210.8,2024-07-01 09:25:00,110
2523.0,210.6491,210.71,210.63,210.71,210.63,2024-07-01 09:30:00,51
2774.0,210.9638,210.82,211.07,211.07,210.82,2024-07-01 09:35:00,37
1720.0,211.2822,211.39,211.39,211.39,211.39,2024-07-01 09:40:00,52
1939.0,211.0092,211.02,210.99,211.02,210.99,2024-07-01 09:45:00,48
1417.0,211.0949,211.0,210.99,211.0,210.99,2024-07-01 09:50:00,49
2961.0,211.2374,211.19,211.27,211.27,211.19,2024-07-01 10:00:00,52
1720.0,211.417,211.34,211.5,211.5,211.34,2024-07-01 10:05:00,67
167.0,211.5399,211.51,211.51,211.51,211.51,2024-07-01 10:10:00,11
320.0,211.3987,211.4,211.4,211.4,211.4,2024-07-01 10:15:00,9
616.0,211.2862,211.3,211.3,211.3,211.3,2024-07-01 10:20:00,21
270.0,211.3098,211.3,211.3,211.3,211.3,2024-07-01 10:30:00,7
137.0,211.305,211.3,211.3,211.3,211.3,2024-07-01 10:35:00,4
826.0,211.3088,211.3,211.3,211.3,211.3,2024-07-01 10:40:00,42
850.0,211.3215,211.37,211.3,211.37,211.3,2024-07-01 10:45:00,13
1946.0,211.177,211.25,211.15,211.25,211.15,2024-07-01 10:55:00,60
4610.0,211.2597,211.14,211.27,211.35,211.14,2024-07-01 11:00:00,148
5169.0,211.3123,211.34,211.26,211.34,211.26,2024-07-01 11:05:00,77
4893.0,211.2999,211.25,211.32,211.32,211.25,2024-07-01 11:10:00,90
4763.0,211.3775,211.35,211.45,211.45,211.35,2024-07-01 11:15:00,131
794.0,211.4212,211.39,211.39,211.39,211.39,2024-07-01 11:20:00,20
8771.0,211.4801,211.42,211.5,211.5,211.42,2024-07-01 11:25:00,141
4274.0,211.4639,211.5,211.36,211.5,211.36,2024-07-01 11:30:00,73
3691.0,211.559,211.54,211.6,211.6,211.54,2024-07-01 11:35:00,64
10140.0,211.6162,211.62,211.64,211.65,211.57,2024-07-01 11:40:00,154
6574.0,211.6154,211.64,211.6,211.64,211.6,2024-07-01 11:45:00,109
2996.0,211.6101,211.6,211.66,211.66,211.57,2024-07-01 11:50:00,94
583.0,211.6193,211.65,211.65,211.65,211.65,2024-07-01 11:55:00,34
69418.0,211.5484,211.32,211.64,212.2,211.1545,2024-07-01 12:00:00,2602
37937.0,210.9983,211.64,210.62,211.71,210.62,2024-07-01 12:05:00,166
6160.0,211.5106,211.6,211.44,211.6,211.44,2024-07-01 12:10:00,212
10280.0,211.1258,211.45,211.46,211.46,210.62,2024-07-01 12:15:00,203
6317.0,211.4176,211.46,211.4,211.46,211.3898,2024-07-01 12:20:00,258
11443.0,211.3671,211.46,211.3999,211.46,211.3,2024-07-01 12:25:00,256
3776.0,211.3526,211.4,211.34,211.4,211.3,2024-07-01 12:30:00,144
1232.0,211.3373,211.36,211.34,211.36,211.34,2024-07-01 12:35:00,110
9740.0,211.3044,211.3,211.3,211.3842,211.25,2024-07-01 12:40:00,326
6141.0,211.3437,211.3,211.3,211.4,211.2758,2024-07-01 12:45:00,203
7342.0,211.3355,211.31,211.3988,211.4,211.3,2024-07-01 12:50:00,252
34328.0,210.9786,211.4,211.45,211.518,211.38,2024-07-01 12:55:00,232
19951.0,211.6483,211.51,211.7,211.7499,211.51,2024-07-01 13:00:00,355
20936.0,211.5767,211.7,211.6774,211.7,211.45,2024-07-01 13:05:00,438
5698.0,211.5775,211.56,211.6,211.6,211.5001,2024-07-01 13:10:00,229
8692.0,211.4898,211.51,211.59,211.63,211.4,2024-07-01 13:15:00,348
16147.0,211.7277,211.58,211.81,211.82,211.55,2024-07-01 13:20:00,434
89959.0,212.0817,211.84,212.02,212.25,211.8,2024-07-01 13:25:00,1316
2756856.0,212.5235,212.09,213.34,213.48,211.92,2024-07-01 13:30:00,32255
1399199.0,213.5957,213.325,213.33,214.04,213.145,2024-07-01 13:35:00,15029
1019405.0,213.376,213.32,213.52,213.85,212.93,2024-07-01 13:40:00,12497
1144791.0,212.9777,213.5199,212.445,213.64,212.41,2024-07-01 13:45:00,12929
941116.0,212.5867,212.42,212.78,212.99,212.28,2024-07-01 13:50:00,11326
